kanji 1	kanji 2	kanji 3	kanji 4	kana 1	kana 2	Part-of-Speech	meaning
煽る	アオる			あおる		v	(go terminology)
空き三角	アキ三角			あきさんかく		n	(go terminology)
悪手				あくしゅ		n	(go terminology)
揚げ浜	揚浜			あげはま		n	captured stones kept in the Go bowl cover until the end of the game
アゴ				あご		n	(go terminology)
味	アジ			あじ		n	(go terminology)
足が早い				あしがはやい		adj-i	(go terminology)
味消し				あじけし		n	aji keshi
当たり	アタリ			あたり		n	(go terminology)
厚い				あつい		adj-i	(go terminology)
圧迫				あっぱく		n	(go terminology)
厚味	厚み			あつみ		n	thickness
当て	アテ			あて		n	(go terminology)
当て返し	アテ返し	アテカエシ		あてかえし		n	(go terminology)
当て込み	アテ込み	アテコミ		あてこみ		n	(go terminology)
当てツギ	アテツギ			あてつぎ		n	(go terminology)
当てノビ	アテノビ			あてのび		n	(go terminology)
アマ				あま		n	amateur
甘い	あまい			あまい		adj-i	soft, loose, overly generous
余し				あまし		n	(go terminology)
余り形	アマリ形			あまりがたち		n	(go terminology)
良い	好い	いい		いい		adj-i	(go terminology)
生かす				いかす		v	(go terminology)
生き				いき		n	(go terminology)
生きる				いきる		n	to live with a group
囲碁				いご		n	(go terminology)
囲碁未来				いごみらい		n	Igo Mirai, monthly publication from Nihon Ki-in aimed at kyu players
石				いし		n	(go terminology)
石の下				いしのした		n	(go terminology)
苛め				いじめ		n	the free sente moves you get by playing against weak positions
鼬の腹ヅケ	イタチの腹付け	イタチの腹ツケ		いたちのはらつけ	いたちのはらづけ	n	(go terminology)
一眼				いちがん		n	(go terminology)
一合升	一合マス			いちごうます		n	(go terminology)
一級				いっきゅう		n	(go terminology)
一局				いっきょく		n	one game
一間受け				いっけんうけ		n	(go terminology)
一間シマリ	一間ジマリ			いっけんしまり	いっけんじまり	n	(go terminology)
一間高ガカリ				いっけんたかがかり		n	(go terminology)
一間高バサミ				いっけんたかばさみ		n	(go terminology)
一間トビ				いっけんとび		n	(go terminology)
一間バサミ				いっけんばさみ		n	(go terminology)
一間開き				いっけんびらき		n	(go terminology)
一子				いっし		n	one stone
一手				いって		n	(go terminology)
一手ヨセ劫	一手ヨセコウ			いってよせこう		n	(go terminology)
一方地				いっぽうじ		n	(go terminology)
一本道				いっぽんみち		n	(go terminology)
犬の顔				いぬのかお		n	(go terminology)
芋筋				いもすじ		n	(go terminology)
院生				いんせい		n	(go terminology)
引退碁				いんたいご		n	(go terminology)
上				うえ		n	(go terminology)
上付け	上ツケ			うえつけ		n	(go terminology)
浮き石				うきいし		n	(go terminology)
受け				うけ		n	answer, defense (to a move)
薄い				うすい		adj-i	thin
内				うち		n	(go terminology)
打ち欠き	ウチカキ			うちかき		n	(go terminology)
内側				うちがわ		n	(go terminology)
打ち込み	ウチコミ			うちこみ		n	invasion
打ち込む				うちこむ		v	(go terminology)
打ちすぎ				うちすぎ		n	(go terminology)
内ヅケ				うちづけ		n	(go terminology)
宇宙流				うちゅうりゅう		n	(go terminology)
打つ				うつ		v	(go terminology)
打って返し	打ッテ返シ	ウッテガエシ		うってがえし		n	(go terminology)
右辺				うへん		n	(go terminology)
巧い	上手い	うまい		うまい		adj-i	(go terminology)
馬面				うまずら		n	(go terminology)
馬の顔				うまのかお		n	(go terminology)
うわ手				うわて		n	(go terminology)
えぐり	エグリ			えぐり		n	(go terminology)
追い落とし	オイオトシ			おいおとし		n	(go terminology)
王座				おうざ		n	the Oza title
応手				おうしゅ		n	response
大				おお		n	(go terminology)
大石				おおいし		n	large group of stones, dragon
大きい				おおきい		adj-i	(go terminology)
大ゲイマ				おおげいま		n	(go terminology)
大ゲイマカカリ				おおげいまかかり		n	(go terminology)
大ゲイマガカリ				おおげいまがかり		n	(go terminology)
大ゲイマカケ				おおげいまかけ		n	(go terminology)
大ゲイマガケ				おおげいまがけ		n	(go terminology)
大ゲイマシマリ				おおげいましまり		n	(go terminology)
大ゲイマジマリ				おおげいまじまり		n	(go terminology)
大ゲイマスベリ				おおげいますべり		n	(go terminology)
大ゲイマビラキ				おおげいまびらき		n	(go terminology)
大ザル				おおざる		n	(go terminology)
大高目				おおたかもく		n	(go terminology)
大手合				おおてあい		n	(go terminology)
大中手	大ナカデ			おおなかで		n	big eye, i.e. an eye that has more liberties than the number of points inside it
大ナダレ				おおなだれ		n	(go terminology)
大場				おおば		n	(go terminology)
大盤				おおばん		n	demonstration board
大目ハズシ				おおもくはずし		n	(go terminology)
大模様	大モヨウ			おおもよう		n	(go terminology)
大ヨセ				おおよせ		n	(go terminology)
置き	オキ			おき		n	(go terminology)
置き石				おきいし		n	(go terminology)
置き碁	置キ碁			おきご		n	(go terminology)
押さえ	オサエ			おさえ		n	(go terminology)
押し	オシ			おし		n	(go terminology)
押し切り	オシギリ			おしぎり		n	(go terminology)
押しつぶし	オシツブシ			おしつぶし		n	(go terminology)
脅かす				おびやかす		v	(go terminology)
重い				おもい		adj-i	(go terminology)
オリ切り	オリキリ			おりきり		n	(go terminology)
外勢				がいせい		n	(go terminology)
抱え	カカエ			かかえ		n	(go terminology)
カカエツギ				かかえつぎ		n	(go terminology)
掛かり	カカリ			かかり		n	(go terminology)
掛る				かかる		v	(go terminology)
格言				かくげん		n	(go terminology)
確定地				かくていじ		n	(go terminology)
鶴翼の陣				かくよくのじん		n	(go terminology)
掛け	カケ			かけ		n	(go terminology)
カケツギ				かけつぎ		n	(go terminology)
欠け目	欠け眼	カケ眼		かけめ		n	(go terminology)
カケ眼生き				かけめいき		n	(go terminology)
囲い				かこい		n	(go terminology)
肩	カタ			かた		n	(go terminology)
固い	堅い			かたい		adj-i	(go terminology)
方先手				かたせんて		n	(go terminology)
形				かたち		n	(go terminology)
肩突き	肩ツキ	カタ突き	カタツキ	かたつき		n	shoulder hit
堅ツギ	カタツギ			かたつぎ		n	(go terminology)
固まる				かたまる		v	(go terminology)
固める				かためる		v	(go terminology)
勝ち				かち		n	(go terminology)
勝つ				かつ		v	(go terminology)
活				かつ		n	(go terminology)
勝手読み				かってよみ		n	wishful reading, subconsciously ignoring good sequences for the opponent
角	カド			かど		n	(go terminology)
角番				かどばん		n	game within a series of games which, if lost, will lose the series or increase the handicap
要石				かなめいし		n	(go terminology)
被せる	カブセル			かぶせる		v	(go terminology)
